date,Open,High,Low,Close,Volume
28-04-2021,43.26,46.91,40.74,44.85,1021154320
29-04-2021,44.85,46.09,40.8,42.55,772259307
30-04-2021,42.55,44.3,41.26,42.87,534976437
01-05-2021,42.87,49.89,42.04,49.58,859524423
02-05-2021,49.58,49.95,46.03,46.91,571072187
03-05-2021,46.91,49.28,44.73,46.06,609194252
04-05-2021,46.06,47.81,42.3,42.64,682976428
05-05-2021,42.64,46.41,42.32,44.98,503781975
06-05-2021,44.98,44.98,42.62,43.51,391497018
07-05-2021,43.51,46.23,41.5,43.21,514344601
08-05-2021,43.21,46.72,42.4,45.73,451056655
09-05-2021,45.73,47.15,43.01,44.35,510603312
10-05-2021,44.35,45.95,39.05,42.94,499528076
11-05-2021,42.94,45.17,39.66,44.64,473731333
12-05-2021,44.64,49.11,41.52,42.94,1151668076
13-05-2021,42.94,45.44,37.45,41,1016860656
14-05-2021,41,44.99,39.93,42.79,504167711
15-05-2021,42.79,45.57,39.41,43.46,500445722
16-05-2021,43.46,52.43,41.89,46.85,1990976771
17-05-2021,46.85,51.91,43.18,46.65,1951921366
18-05-2021,46.65,58.36,46.11,55.98,2025388219
19-05-2021,55.98,57.59,29.55,34.96,2772224999
20-05-2021,34.96,49.9,31.33,44.42,2487748626
21-05-2021,44.42,47.73,33.65,38.91,1769762028
22-05-2021,38.91,39.99,31.2,31.28,1078751751
23-05-2021,31.28,32.38,19.19,24.53,1925832341
24-05-2021,24.53,32.22,24.53,31.45,1346786023
25-05-2021,31.45,33.19,25.99,30.08,909470305
26-05-2021,30.08,37.27,28.93,35.46,1069991365
27-05-2021,35.46,35.64,31.13,33.71,649389058
28-05-2021,33.71,34.53,27.99,29,600255582
29-05-2021,29,30.06,25.73,27.39,376859866
30-05-2021,27.39,29.76,25.64,28.6,359661704
31-05-2021,28.6,33,27.52,32.78,534826504
01-06-2021,32.78,33.29,29.86,30.98,432053117
02-06-2021,30.98,34.98,30.43,33.98,497567418
03-06-2021,33.98,41.31,33.73,39.56,960056106
04-06-2021,39.56,39.69,34.26,37.42,1056279506
05-06-2021,37.42,42.75,37.06,39.75,1112426664
06-06-2021,39.75,43.42,38.98,42.23,794387364
07-06-2021,42.23,44.19,37.93,38.28,923157614
08-06-2021,38.28,42.8,33.6,41.26,1786996802
09-06-2021,41.26,44.06,39.32,42.03,1218831041
10-06-2021,42.03,43.04,39.53,41.09,595246689
11-06-2021,41.09,41.36,35.16,36.18,518666603
12-06-2021,36.18,37.62,34.24,36.48,549070417
13-06-2021,36.48,39.39,34.73,38.72,452988674
14-06-2021,38.72,40.54,36.68,39.72,477871463
15-06-2021,39.72,41.72,39.18,39.55,605285143
16-06-2021,39.55,41.55,37.48,39.63,576016902
17-06-2021,39.63,41.21,38.22,39.22,417775600
18-06-2021,39.22,39.44,34.95,36.79,424163369
19-06-2021,36.79,37.31,34.91,35.19,264640750
20-06-2021,35.19,35.94,31.24,35.25,452587531
21-06-2021,35.25,35.47,24.12,26.65,760344541
22-06-2021,26.65,28.78,20.24,26.98,1258580061
23-06-2021,26.98,32.92,25.7,30.84,1111302687
24-06-2021,30.84,32.97,28.5,31.18,641150364
25-06-2021,31.18,32.97,27.97,28.63,632052177
26-06-2021,28.63,30.01,26.71,29.67,560342710
27-06-2021,29.67,31.92,29.21,31.87,497353288
28-06-2021,31.87,34.29,31,33,473612135
29-06-2021,33,35.86,32.7,33.94,471854279
30-06-2021,33.94,35.98,31.6,35.53,570984168
01-07-2021,35.53,35.56,32.25,33.32,474665321
02-07-2021,33.32,34.09,31.41,34,440298780
03-07-2021,34,35.38,33.26,34.5,327019964
04-07-2021,34.5,35.51,33.56,34.32,303420520
05-07-2021,34.32,34.48,32.45,32.93,313839322
06-07-2021,32.93,35.04,32.92,34.23,365336040
07-07-2021,34.23,38.1,33.85,36.72,519252659
08-07-2021,36.72,36.95,32.69,33.14,498201257
09-07-2021,33.14,34.44,31.98,33.3,327170629
10-07-2021,33.3,34.19,31.06,31.72,296566657
11-07-2021,31.72,32.56,31.39,32.19,211679810
12-07-2021,32.19,32.68,30.05,30.78,221058993
13-07-2021,30.78,31.07,28.83,29.12,197825362
14-07-2021,29.12,31.43,27.42,31.36,331866434
15-07-2021,31.36,31.49,27.99,28.55,329918376
16-07-2021,28.55,29.45,26.21,26.27,374718328
17-07-2021,26.27,27.79,26.01,26.75,289689475
18-07-2021,26.75,27.74,26.27,26.67,230336396
19-07-2021,26.67,26.7,24.01,24.5,361915410
20-07-2021,24.5,24.98,22.12,23.46,413439963
21-07-2021,23.46,27.45,22.83,26.63,555770206
22-07-2021,26.63,28.18,25.94,27.71,364666998
23-07-2021,27.71,28.7,26.41,28.51,407955237
24-07-2021,28.51,29.49,28.04,28.65,353750758
25-07-2021,28.65,28.88,26.55,28.19,309208018
26-07-2021,28.19,31.09,27.89,28.22,743673802
27-07-2021,28.22,28.98,26.93,28.14,375599550
28-07-2021,28.14,28.76,27.38,27.88,315682626
29-07-2021,27.88,31.88,27.34,31.28,448009571
30-07-2021,31.28,33.07,30,32.38,617830199
31-07-2021,32.38,36.98,31.71,36.74,587168181
01-08-2021,36.74,36.81,33.27,34.2,490639931
02-08-2021,34.2,35.91,33.02,33.19,407399691
03-08-2021,33.19,35.84,32.37,34.11,474629269
04-08-2021,34.11,36.65,33.27,35.78,413657602
05-08-2021,35.78,38.24,35.51,37.37,595137193
06-08-2021,37.37,40.4,35.67,39.52,589190671
07-08-2021,39.52,40.5,37.58,39.48,534979916
08-08-2021,39.48,39.57,36.93,37.67,358570315
09-08-2021,37.67,40.03,36.37,38.69,377034585
10-08-2021,38.69,41.67,38.23,40.68,452480699
11-08-2021,40.68,43.76,40.63,41.66,507980107
12-08-2021,41.6,41.87,39.34,41.09,527833804
13-08-2021,41.09,44.95,40.71,44.89,541894525
14-08-2021,44.89,44.9,42.77,44.16,363834257
15-08-2021,44.16,54.75,43.42,53.53,1448656564
16-08-2021,53.53,69.33,52.33,62.15,3799339365
17-08-2021,62.15,75,58.81,64.18,4043742154
18-08-2021,64.18,80.52,59.98,72.79,4507409622
19-08-2021,72.79,75.34,68.39,72.82,2467398203
20-08-2021,72.82,79.95,70.96,78.68,1844455899
21-08-2021,78.68,81.92,72.69,73.89,1513097171
22-08-2021,73.89,77.59,71.31,72.75,968933849
23-08-2021,72.75,76.74,71.6,75.66,1372134245
24-08-2021,75.66,79.4,68.68,70.67,2153611667
25-08-2021,70.67,72.78,66.2,71.94,1551240766
26-08-2021,71.94,78.29,66.28,74.85,2713050538
27-08-2021,74.85,88.87,72.65,88.11,3263988286
28-08-2021,88.11,97.86,85.65,96.38,2580080503
29-08-2021,96.38,97.82,90.66,94.29,1830344091
30-08-2021,94.29,116.31,93.79,110.17,5274104165
31-08-2021,110.17,130,103.13,108.34,7590894022
01-09-2021,108.34,119.56,106.02,110.73,3974443896
02-09-2021,110.73,132.08,109.37,128.29,5074399603
03-09-2021,128.29,148.91,128.21,146.46,7526373837
04-09-2021,146.46,150.67,136.03,139,3970422964
05-09-2021,139,144.99,134.85,142.11,2996918105
06-09-2021,142.11,166.06,137.68,164.31,5774090688
07-09-2021,164.31,194.96,131.78,173.2,17068643416
08-09-2021,173.2,197.94,146.72,191.01,13187213606
09-09-2021,191.01,215.85,179.4,187.7,12676272744
10-09-2021,187.7,197.27,168.1,179.5,7087524572
11-09-2021,179.5,193.33,174.55,179.1,5367389010
12-09-2021,179.1,181.57,167.49,174.4,3012633094
13-09-2021,174.4,174.96,150.49,169.66,6437530449
14-09-2021,169.66,171.84,142.51,158.92,5799758794
15-09-2021,158.92,166.95,153.95,158.66,3908939772
16-09-2021,158.66,163.09,147.43,152.11,3215168472
17-09-2021,152.11,153.4,134.25,147.49,4675731485
18-09-2021,147.49,171.55,144.27,169.36,5415012910
19-09-2021,169.36,170.98,150.73,152.86,3350530308
20-09-2021,152.86,153.41,130.49,132.08,5623667250
21-09-2021,132.08,144.61,116.01,124.04,5243953819
22-09-2021,124.04,151.98,122.14,148.18,4952222859
23-09-2021,148.18,152.44,143.03,150,3389212044
24-09-2021,150,151.29,128.52,139.28,3852350632
25-09-2021,139.28,144.07,133.58,136.16,2037106949
26-09-2021,136.16,140.82,124.9,135.84,2674182809
27-09-2021,135.84,148.96,133.81,136.35,2867246888
28-09-2021,136.35,139.41,128.14,132.21,2422542861
29-09-2021,132.21,140.12,131.13,135.3,2428105040
30-09-2021,135.3,142.94,134.11,141.32,2244376110
01-10-2021,141.32,165,138.31,161.67,4387488320
02-10-2021,161.67,175.03,156.24,168.99,3471658582
03-10-2021,168.99,177.73,165.63,173.06,3149579954
04-10-2021,173.06,173.11,162.29,167.21,3109040100
05-10-2021,167.21,170.2,159.92,164.63,2541087419
06-10-2021,164.63,165.48,150.33,153.92,3259712887
07-10-2021,153.93,161.52,150.32,154.35,2579187256
08-10-2021,154.29,168.88,152.44,158.83,2781848650
09-10-2021,158.83,161.56,154.42,156.82,1522023824
10-10-2021,156.82,158.49,145.84,147.67,1556965341
11-10-2021,147.67,154,140.31,144.92,1851795187
12-10-2021,144.92,153.44,137.7,152.43,2853992440
13-10-2021,152.43,155.52,144.37,148.06,2105226551
14-10-2021,148.06,155.65,147.35,150.01,1948101208
15-10-2021,150.01,165.26,146.76,163.17,3970589003
16-10-2021,163.17,164.76,156.63,157.56,1531502795
17-10-2021,157.56,167.47,153.39,160.04,2168838138
18-10-2021,160.04,162.92,154.97,157.15,1698878759
19-10-2021,157.15,159.38,153.22,155.89,1400902548
20-10-2021,155.89,176.89,155.16,176.81,3315306825
21-10-2021,176.81,194.17,176.76,190.25,6865815461
22-10-2021,190.25,215,188.1,196.22,7486821306
23-10-2021,196.22,205.67,192.09,197.73,3253670286
24-10-2021,197.73,204.89,185.34,202.3,3413057378
25-10-2021,202.3,218.93,198.19,209.85,4837376169
26-10-2021,209.85,214.04,196.52,199.72,3194205752
27-10-2021,199.72,205.56,179.66,184.52,4552692842
28-10-2021,184.52,201.53,181.77,194.85,3463958628
29-10-2021,194.85,205.23,194.71,200.41,2468703579
30-10-2021,200.41,200.63,187.51,195.91,1732207667
31-10-2021,195.91,205.14,185.67,202.66,2577364486
01-11-2021,202.66,211.66,198.05,203.51,3157612663
02-11-2021,203.51,222.35,201.16,221.14,3020087232
03-11-2021,221.14,246.51,216.07,243.02,6024951132
